Date,AXP,BA,CAT,CSCO,CVX,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MS,MSFT,NKE,ORCL,PFE,PG,T,VZ,WMT,XOM
2004-11-01,35.59337615966797,37.35479736328125,27.13314437866211,12.066828727722168,24.134048461914062,21.13353729248047,100.91918182373047,75.19926452636719,24.848934173583984,47.80243682861328,12.913201332092285,32.786170959472656,21.30626106262207,10.289002418518066,16.967212677001953,26.74515724182129,16.532880783081055,8.023184776306152,10.150681495666504,10.674408912658691,29.720441818237305,4.227017402648926,12.39738941192627,11.37979507446289,25.14757537841797
2004-12-01,36.015071868896484,36.23883819580078,28.899545669555664,12.433656692504883,23.386844635009766,21.85685920715332,104.17280578613281,74.68244171142578,25.488508224487305,50.100555419921875,13.519879341125488,34.63399887084961,22.07588768005371,10.967641830444336,18.024269104003906,29.258943557739258,18.364721298217773,8.594640731811523,10.931503295898438,10.398375511169434,30.6096134185791,4.3277764320373535,12.18089485168457,11.545929908752441,25.2885684967041
2005-01-01,34.0855598449707,35.419837951660156,26.407018661499023,11.609899520874023,24.228601455688477,22.71054458618164,103.73072814941406,77.41732025146484,24.605894088745117,47.478118896484375,12.976542472839355,35.33301544189453,21.125173568725586,10.928133964538574,18.209789276123047,29.49082374572754,18.06230354309082,8.221731185913086,10.971341133117676,9.342681884765625,29.581512451171875,3.990220308303833,10.701501846313477,11.482012748718262,25.456314086914062
2005-02-01,34.672245025634766,38.478824615478516,28.294265747070312,11.210888862609863,27.649124145507812,22.163206100463867,101.06066131591797,78.2885513305664,23.86639976501465,47.051212310791016,13.866690635681152,35.82451248168945,20.864961624145508,11.273178100585938,18.597719192504883,29.905202865600586,17.292526245117188,8.252098083496094,10.317995071411133,10.16634750366211,29.63604164123535,4.109686374664307,10.920827865600586,11.3089017868042,31.233312606811523
2005-03-01,32.892189025878906,41.113948822021484,27.219663619995117,11.513362884521484,26.149887084960938,22.78986930847168,104.17957305908203,79.14485168457031,22.804880142211914,46.52995681762695,13.475139617919922,36.835174560546875,19.75179100036621,10.975541114807129,17.507043838500977,30.318273544311523,16.66334342956543,7.906642913818359,9.943520545959473,10.234725952148438,29.585811614990234,4.046488285064697,10.778131484985352,10.98022174835205,29.547021865844727
2005-04-01,33.82353973388672,41.85943603515625,26.21051597595215,11.114349365234375,23.320098876953125,20.941614151000977,104.5840835571289,76.84222412109375,21.146329879760742,38.892086029052734,13.64335823059082,37.64143753051758,20.259855270385742,11.51661491394043,16.478208541870117,27.866329193115234,17.44239616394043,7.300326347351074,9.21051025390625,10.585363388061523,30.227758407592773,4.065277576446533,10.86921215057373,10.359881401062012,28.27293586730957
2005-05-01,34.56163787841797,44.93981170654297,28.14553451538086,12.485139846801758,24.11834716796875,21.76658821105957,105.39305114746094,70.32470703125,23.52582550048828,38.469444274902344,15.638818740844727,36.80229568481445,20.612911224365234,11.83210563659668,17.394603729248047,26.056581497192383,17.787105560302734,7.812613010406494,10.198485374450684,10.869767189025879,30.945463180541992,4.065377712249756,10.864710807800293,10.379656791687012,27.8614559173584
2005-06-01,34.1637077331543,46.60759353637695,28.504417419433594,12.279205322265625,25.303499221801758,19.973859786987305,100.10602569580078,73.58489227294922,23.256797790527344,37.882389068603516,15.144389152526855,35.825260162353516,20.364973068237305,11.068571090698242,15.601171493530273,27.92461585998535,17.179584503173828,8.23080825805664,10.517186164855957,10.819419860839844,29.598796844482422,4.129713535308838,10.609824180603027,10.626749992370605,28.63616943359375
2005-07-01,35.37833023071289,46.61465072631836,32.24576950073242,12.324249267578125,26.24920654296875,20.338743209838867,100.29035186767578,77.52310943603516,26.07821273803711,42.61001205444336,15.79626750946045,35.25205612182617,20.261186599731445,11.675843238830566,17.52390480041504,28.233280181884766,17.712120056152344,7.976426124572754,10.811992645263672,10.395740509033203,31.214820861816406,4.251433372497559,10.51156234741211,10.880290031433105,29.273963928222656
2005-08-01,35.5327033996582,47.327877044677734,33.34699249267578,11.339601516723633,27.783172607421875,19.981788635253906,97.70313262939453,80.37748718261719,24.1662540435791,41.16009521484375,14.969780921936035,34.937896728515625,19.730384826660156,11.739872932434082,18.243534088134766,27.21038055419922,18.936267852783203,7.510973930358887,10.349872589111328,9.99560260772705,31.290281295776367,4.262739658355713,10.162659645080566,9.912418365478516,29.846986770629883
